Code INSEE,Code Postal,Commune
30277,30200,SAINT-LAURENT-DE-CARNOLS
42314,42830,LA TUILIERE
60435,60380,MORVILLERS
01349,01800,SAINT-ELOI
55142,55130,DAINVILLE-BERTHELEVILLE
53206,53170,SAINT-CHARLES-LA-FORET
40013,40190,ARTHEZ-D'ARMAGNAC
40326,40560,VIELLE-SAINT-GIRONS
63071,63210,CEYSSAT
65132,65190,CASTERA-LANUSSE
22314,22600,SAINT-MAUDAN
62096,62124,BEAUMETZ-LES-CAMBRAI
02230,02220,COUVRELLES
02342,02260,GERGNY
80596,80600,NEUVILLETTE
86241,86220,SAINT-REMY-SUR-CREUSE
27597,27210,SAINT-PIERRE-DU-VAL
32403,32290,SAINT-PIERRE-D'AUBEZIES
77384,77550,REAU
01308,01550,POUGNY
47050,47340,CASSIGNAS
17139,17330,DOEUIL-SUR-LE-MIGNON
2B113,20237,FICAJA
50622,50490,VAUDRIMESNIL
80090,80200,BERNY-EN-SANTERRE
58297,58260,TROIS-VEVRES
40266,40170,SAINT-JULIEN-EN-BORN
52206,52220,FRAMPAS
21045,21410,BARBIREY-SUR-OUCHE
14519,14210,PREAUX-BOCAGE
57323,57330,HETTANGE-GRANDE
80530,80800,MERICOURT-L'ABBE
80607,80540,OISSY
16229,16240,MONTJEAN
59186,59740,ECCLES
60065,60370,BERTHECOURT
50458,50500,SAINT-COME-DU-MONT
16031,16700,BARRO
61420,61320,SAINTE-MARIE-LA-ROBERT
28159,28250,LA FRAMBOISIERE
44145,44640,ROUANS
85108,85260,L'HERBERGEMENT
35056,35190,LA CHAPELLE-AUX-FILTZMEENS
67008,67120,ALTORF
32424,32400,SEGOS
50136,50250,COIGNY
88186,88500,FRENELLE-LA-PETITE
57338,57720,HOTTVILLER
69048,69700,CHASSAGNY
41284,41290,VILLENEUVE-FROUVILLE
25531,25340,SANTOCHE
57120,57170,BURLIONCOURT
28109,28240,LES CORVEES-LES-YYS
71294,71640,MERCUREY
45265,45210,ROZOY-LE-VIEIL
88390,88320,ROBECOURT
54263,54310,HOMECOURT
89098,89700,CHENEY
52164,52400,DAMREMONT
45227,45500,NEVOY
27034,27440,BACQUEVILLE
72104,72260,COURGAINS
76201,76780,CROISY-SUR-ANDELLE
33050,33210,BIEUJAC
40132,40300,LABATUT
14649,14700,SAINT-PIERRE-DU-BU
61317,61230,ORGERES
24360,24170,SAGELAT
31237,31260,HIS
26221,26400,OMBLEZE
11425,11600,VILLEGAILHENC
47184,47210,MONTAUT
57628,57430,SARRALBE
61371,61150,SAINT-BRICE-SOUS-RANES
10441,10130,VOSNON
43110,43100,LAMOTHE
84026,84160,CADENET
58290,58250,THAIX
55148,55130,DELOUZE-ROSIERES
17091,17230,CHARRON
02674,02360,SAINT-CLEMENT
73270,73250,SAINT-PIERRE-D'ALBIGNY
08306,08130,MONT-LAURENT
24199,24320,GOUT-ROSSIGNOL
18143,18320,MENETOU-COUTURE
26163,26190,LEONCEL
73285,73700,SEEZ
27577,27680,SAINTE-OPPORTUNE-LA-MARE
68343,68190,UNGERSHEIM
38319,38680,PONT-EN-ROYANS
53246,53370,SAINT-PIERRE-DES-NIDS
68089,68470,FELLERING
70124,70100,CHAMPTONNAY
10161,10200,FRESNAY
57671,57580,THIMONVILLE
71238,71340,IGUERANDE
03315,03430,VILLEFRANCHE-D'ALLIER
88441,88260,SANS-VALLOIS
2A070,20111,CASAGLIONE
31391,31260,MONTSAUNES
54434,54116,PRAYE
18051,18250,LA CHAPELOTTE
83128,83690,SILLANS-LA-CASCADE
63287,63500,LES PRADEAUX
28373,28250,SENONCHES
12183,12550,PLAISANCE
39363,39320,MONTREVEL
55508,55600,THONNE-LA-LONG
54429,54160,PIERREVILLE
62501,62990,LESPINOY
19170,19120,QUEYSSAC-LES-VIGNES
84060,84400,LAGARDE-D'APT
38070,38190,LE CHAMP-PRES-FROGES
22232,22410,PLOURHAN
41003,41100,AREINES
22303,22330,SAINT-JACUT-DU-MENE
59615,59232,VIEUX-BERQUIN
28380,28630,SOURS
57564,57810,RECHICOURT-LE-CHATEAU
37210,37500,SAINT-BENOIT-LA-FORET
69049,69380,CHASSELAY
17341,17500,SAINT-GERMAIN-DE-VIBRAC
33303,33750,NERIGEAN
80356,80140,FRESNOY-ANDAINVILLE
73196,73200,PALLUD
10135,10200,ECLANCE
31145,31550,CINTEGABELLE
65006,65440,ANCIZAN
27023,27180,AULNAY-SUR-ITON
52375,52600,PALAISEUL
26139,26750,GENISSIEUX
46115,46400,FRAYSSINHES
02536,02200,NAMPTEUIL-SOUS-MURET
89119,89480,COULANGES-SUR-YONNE
51639,51270,LA VILLE-SOUS-ORBAIS
72041,72390,BOUER
64392,64330,MONCLA
54268,54930,HOUSSEVILLE
77190,77370,FONTAINS
29003,29770,AUDIERNE
22173,22400,PLANGUENOUAL
51518,51220,SAINT-THIERRY
38224,38350,MAYRES-SAVEL
23232,23460,SAINT-PIERRE-BELLEVUE
74240,74250,SAINT-JEAN-DE-THOLOME
62600,62550,NEDON
68245,68130,OBERMORSCHWILLER
30131,30630,GOUDARGUES
03149,03500,LOUCHY-MONTFAND
12056,12160,BARAQUEVILLE
17336,17810,SAINT-GEORGES-DES-COTEAUX
11043,11800,BOUILHONNAC
14158,14370,CHICHEBOVILLE
91495,91410,PLESSIS-SAINT-BENOIST
08385,08090,SAINT-LAURENT
65351,65100,OUSTE
86205,86200,RANTON
47026,47700,BEAUZIAC
57597,57780,ROSSELANGE
51206,51330,DAMPIERRE-LE-CHATEAU
77374,77135,PONTCARRE
32133,32250,FOURCES
61392,61470,SAINT-GERMAIN-D'AUNAY
13048,13490,JOUQUES
95658,95450,VIGNY
33316,33790,PELLEGRUE
11068,11700,CAPENDU
95181,95650,COURCELLES-SUR-VIOSNE
10095,10700,LE CHENE
21699,21130,VILLERS-LES-POTS
38317,38800,LE PONT-DE-CLAIX
33114,33620,CAVIGNAC
02098,02400,BONNEIL
31563,31340,VACQUIERS
57211,57280,FEVES
84115,84330,SAINT-PIERRE-DE-VASSOLS
12119,12210,LAGUIOLE
57252,57220,GOMELANGE
71545,71520,TRAMAYES
88047,88270,BEGNECOURT
62134,62650,BIMONT
81063,81150,CASTELNAU-DE-LEVIS
62877,62760,WARLINCOURT-LES-PAS
72227,72600,PANON
16411,16140,VILLEJESUS
25102,25470,BURNEVILLERS
86149,86330,MARTAIZE
85243,85470,BREM-SUR-MER
04008,04240,ANNOT
38300,38260,PENOL
39190,39700,DAMPIERRE
62650,62118,PELVES
39558,39570,VEVY
54324,54290,LOREY
21661,21370,VELARS-SUR-OUCHE
55536,55270,VAUQUOIS
14595,14100,SAINT-JEAN-DE-LIVET
78444,78980,NEAUPHLETTE
90099,90300,VALDOIE
38429,38650,SAINT-MICHEL-LES-PORTES
89416,89520,THURY
42107,42560,GUMIERES
34315,34230,USCLAS-D'HERAULT
23152,23130,PIERREFITTE
06009,06420,BAIROLS
51269,51290,GIFFAUMONT-CHAMPAUBERT
79270,79400,SAINT-MAIXENT-L'ECOLE
39278,39130,LARGILLAY-MARSONNAY
76240,76400,EPREVILLE
79006,79190,LES ALLEUDS
59466,59710,PONT-A-MARCQ
36079,36110,FRANCILLON
87131,87720,SAILLAT-SUR-VIENNE
63024,63690,AVEZE
74106,74550,DRAILLANT
12030,12300,BOUILLAC
59094,59630,BOURBOURG
04183,04170,SAINT-JULIEN-DU-VERDON
49261,49350,LES ROSIERS-SUR-LOIRE
59465,59360,POMMEREUIL
24512,24200,SAINT-VINCENT-LE-PALUEL
67413,67290,ROSTEIG
22119,22420,LANVELLEC
30257,30320,SAINT-GERVASY
25216,25150,ECURCEY
88009,88650,ANOULD
15121,15110,MAURINES
29010,29400,BODILIS
47316,47400,VARES
15152,15230,PIERREFORT
67180,67500,HAGUENAU
22307,22940,SAINT-JULIEN
46212,46330,ORNIAC
32225,32730,MALABAT
57244,57820,GARREBOURG
43046,43770,CHADRAC
38062,38530,LA BUISSIERE
57086,57930,BELLES-FORETS
01454,01300,VIRIGNIN
39409,39290,PEINTRE
27050,27170,BEAUMONTEL
34013,34800,ASPIRAN
50642,50250,VINDEFONTAINE
84133,84240,LA TOUR-D'AIGUES
62145,62156,BOIRY-NOTRE-DAME
78474,78910,ORVILLIERS
61111,61250,COLOMBIERS
57412,57050,LONGEVILLE-LES-METZ
56045,56230,LE COURS
95543,95510,SAINT-CYR-EN-ARTHIES
40320,40090,UCHACQ-ET-PARENTIS
71423,71350,SAINT-GERVAIS-EN-VALLIERE
14605,14710,SAINT-LAURENT-SUR-MER
05181,05480,VILLAR-D'ARENE
18288,18340,VORLY
72295,72600,SAINT-LONGIS
71251,71190,LAIZY
76365,76740,HOUDETOT
40075,40260,CASTETS
15221,15130,SANSAC-DE-MARMIESSE
32289,32220,MONTPEZAT
26024,26120,BARCELONNE
17411,17370,SAINT-TROJAN-LES-BAINS
33532,33620,TIZAC-DE-LAPOUYADE
42326,42520,VERANNE
11339,11310,SAINT-DENIS
18287,18300,VINON
66068,66360,ESCARO
78346,78980,LONGNES
88229,88300,HARCHECHAMP
31517,31410,SAINT-SULPICE-SUR-LEZE
12002,12520,AGUESSAC
01156,01800,FARAMANS
09161,09600,LERAN
25233,25580,FALLERANS
51351,51230,MARIGNY
61060,61270,BRETHEL
2A189,20113,OLMETO
61363,61380,SAINT-AQUILIN-DE-CORBION
36110,36340,MAILLET
42157,42640,NOAILLY
39565,39600,VILLENEUVE-D'AVAL
40079,40700,CAZALIS
71354,71600,POISSON
23183,23480,SAINT-AVIT-LE-PAUVRE
14654,14170,SAINT-PIERRE-SUR-DIVES
51071,51310,BOUCHY-SAINT-GENEST
43121,43410,LEOTOING
33187,33190,GIRONDE-SUR-DROPT
11350,11500,SAINT-JUST-ET-LE-BEZU
89324,89220,ROGNY-LES-SEPT-ECLUSES
13029,13250,CORNILLON-CONFOUX
43050,43410,CHAMBEZON
38567,38410,CHAMROUSSE
54409,54330,OMELMONT
39245,39120,GATEY
2A203,20147,PARTINELLO
60182,60120,LE CROCQ
27160,27630,CIVIERES
67527,67440,WESTHOUSE-MARMOUTIER
22024,22160,CALANHEL
80181,80800,CAYEUX-EN-SANTERRE
2B246,20237,LA PORTA
02348,02160,GLENNES
48098,48110,MOLEZON
01218,01260,LOCHIEU
21375,21430,MANLAY
53006,53290,ARGENTON-NOTRE-DAME
24527,24420,SAVIGNAC-LES-EGLISES
60695,60500,VINEUIL-SAINT-FIRMIN
42275,42270,SAINT-PRIEST-EN-JAREZ
08107,08360,CHATEAU-PORCIEN
30275,30580,SAINT-JUST-ET-VACQUIERES
04109,04230,MALLEFOUGASSE-AUGES
10144,10170,ETRELLES-SUR-AUBE
76253,76190,ETOUTTEVILLE
39288,39210,LAVIGNY
71194,71150,FARGES-LES-CHALON
83073,83340,LE LUC
51289,51340,HEILTZ-LE-MAURUPT
70515,70200,LE VAL-DE-GOUHENANS
59520,59281,RUMILLY-EN-CAMBRESIS
34152,34380,MAS-DE-LONDRES
48187,48100,LES SALCES
76347,76190,HAUTOT-LE-VATOIS
95056,95270,BELLOY-EN-FRANCE
40037,40280,BENQUET
95287,95810,GRISY-LES-PLATRES
46173,46260,LIMOGNE-EN-QUERCY
43024,43200,BEAUX
24073,24150,CALES
44105,44590,MOUAIS
31346,31340,MIREPOIX-SUR-TARN
61179,61210,LA FRESNAYE-AU-SAUVAGE
63345,63122,SAINT-GENES-CHAMPANELLE
72054,72470,CHAMPAGNE
12212,12540,SAINT-BEAULIZE
03219,03390,SAINT-BONNET-DE-FOUR
31065,31370,BERAT
63443,63720,VARENNES-SUR-MORGE
64537,64470,TROIS-VILLES
31551,31570,TARABEL
39538,39130,UXELLES
51513,51290,SAINT-REMY-EN-BOUZEMONT-SAINT-GENEST-ET-ISSON
77147,77370,LA CROIX-EN-BRIE
79190,79130,NEUVY-BOUIN
72198,72650,LA MILESSE
39092,39270,CHAMBERIA
34116,34790,GRABELS
02232,02600,COYOLLES
51484,51170,SAINT-GILLES
68307,68290,SEWEN
50170,50480,ECOQUENEAUVILLE
31121,31350,CASTERA-VIGNOLES
27514,27270,SAINT-AUBIN-DU-THENNEY
51302,51190,LES ISTRES-ET-BURY
01192,01580,IZERNORE
16238,16460,MOUTONNEAU
40202,40180,NARROSSE
24375,24250,SAINT-AUBIN-DE-NABIRAT
70549,70130,LA VERNOTTE
46013,46230,BACH
58274,58170,SAVIGNY-POIL-FOL
38420,38480,SAINT-MARTIN-DE-VAULSERRE
17260,17270,NEUVICQ
60233,60960,FEUQUIERES
33311,33550,PAILLET
72011,72130,ASSE-LE-BOISNE
28367,28310,SANTILLY
73313,73170,VERTHEMEX
89192,89350,GRANDCHAMP
21633,21350,THOREY-SOUS-CHARNY
85215,85250,SAINT-FULGENT
23243,23140,SAINT-SILVAIN-SOUS-TOULX
89215,89560,LAIN
41087,41800,FONTAINE-LES-COTEAUX
81159,81500,MASSAC-SERAN
95052,95260,BEAUMONT-SUR-OISE
21676,21140,VIC-DE-CHASSENAY
02008,02370,AIZY-JOUY
62690,62140,RAYE-SUR-AUTHIE
58032,58500,BILLY-SUR-OISY
17097,17600,LE CHAY
02414,02450,LAVAQUERESSE
63355,63880,SAINT-GERVAIS-SOUS-MEYMONT
58141,58230,LAVAULT-DE-FRETOY
42147,42600,MONTBRISON
41278,41310,VILLECHAUVE
76087,76560,BERVILLE
42223,42530,SAINT-GENEST-LERPT
16181,16500,LESSAC
46128,46500,GRAMAT
30299,30700,SAINT-SIFFRET
24155,24140,DOUVILLE
60598,60430,SAINT-SULPICE
28005,28800,ALLUYES
17161,17630,LA FLOTTE
38316,38230,PONT-DE-CHERUY
62666,62880,PONT-A-VENDIN
61091,61700,CHAMPSECRET
62226,62129,CLARQUES
53138,53200,LONGUEFUYE
02152,02220,CERSEUIL
11253,11170,MONTOLIEU
69220,69930,SAINT-LAURENT-DE-CHAMOUSSET
36213,36220,SAUZELLES
54479,54290,SAINT-MARD
02288,02100,ESSIGNY-LE-PETIT
61008,61270,AUBE
53251,53400,SAINT-QUENTIN-LES-ANGES
46326,46800,VALPRIONDE
08394,08240,SAINT-PIERREMONT
71576,71700,LE VILLARS
14687,14130,LE THEIL-EN-AUGE
23223,23400,SAINT-MOREIL
80079,80160,BELLEUSE
02088,02860,BIEVRES
17453,17250,TRIZAY
50606,50620,TRIBEHOU
66213,66350,TOULOUGES
44037,44690,CHATEAU-THEBAUD
36095,36160,LIGNEROLLES
47016,47310,AUBIAC
73002,73220,AIGUEBELLE
80003,80560,ACHEUX-EN-AMIENOIS
91639,91820,VAYRES-SUR-ESSONNE
48055,48230,CULTURES
43172,43290,SAINT-BONNET-LE-FROID
25379,25440,MESMAY
01154,01340,ETREZ
78278,78770,GOUPILLIERES
18276,18210,VERNAIS
88011,88380,ARCHES
62460,62630,HUBERSENT
46172,46170,LHOSPITALET
50291,50410,MARGUERAY
51497,51340,SAINT-LUMIER-LA-POPULEUSE
88115,88430,CORCIEUX
76051,76730,BACQUEVILLE-EN-CAUX
62545,62650,MANINGHEM
37249,37360,SONZAY
57738,57720,WALDHOUSE
63420,63190,SEYCHALLES
25301,25390,GUYANS-VENNES
77118,77410,CLAYE-SOUILLY
85024,85710,BOIS-DE-CENE
31365,31310,MONTBRUN-BOCAGE
18163,18250,NEUVY-DEUX-CLOCHERS
94054,94310,ORLY
11061,11240,CAMBIEURE
69041,69240,LA CHAPELLE-DE-MARDORE
24214,24300,JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT
27094,27480,BOSQUENTIN
70545,70500,VENISEY
14056,14260,BAUQUAY
78020,78790,ARNOUVILLE-LES-MANTES
73027,73470,AYN
52104,52100,CHANCENAY
44003,44150,ANCENIS
67469,67440,SINGRIST
30290,30130,SAINT-PAULET-DE-CAISSON
68367,68320,WIDENSOLEN
14218,14430,DANESTAL
45190,45330,MAINVILLIERS
62050,62770,AUCHY-LES-HESDIN
03255,03800,SAINT-PRIEST-D'ANDELOT
56103,56120,LANTILLAC
54278,54740,JEVONCOURT
14041,14600,BARNEVILLE-LA-BERTRAN
54027,54700,ATTON
65073,65140,BAZILLAC
86234,86350,SAINT-MARTIN-L'ARS
81134,81260,LAMONTELARIE
52242,52600,HAUTE-AMANCE
2A310,20143,SANTA-MARIA-FIGANIELLA
16384,16360,TOUVERAC
10014,10220,ASSENCIERES
68276,68500,RIMBACHZELL
67169,67240,GRIES
83077,83136,MEOUNES-LES-MONTRIEUX
58127,58700,GIRY
62395,62140,GUIGNY
37138,37400,LUSSAULT-SUR-LOIRE
49270,49270,SAINT-CHRISTOPHE-LA-COUPERIE
32244,32400,MAULICHERES
70446,70100,RIGNY
03302,03450,VEAUCE
65057,65380,AZEREIX
47141,47150,LAUSSOU
64417,64800,NAY
41133,41240,MEMBROLLES
62166,62550,BOURS
25264,25250,GEMONVAL
46165,46500,LAVERGNE
65400,65400,SALLES
21156,21360,CHAUDENAY-LE-CHATEAU
02021,02360,ARCHON
87075,87170,ISLE
42105,42600,GREZIEUX-LE-FROMENTAL
21420,21340,MOLINOT
64485,64220,SAINT-JEAN-PIED-DE-PORT
32233,32230,MARCIAC
43096,43100,FONTANNES
33168,33350,FLAUJAGUES
64526,64420,SOUMOULOU
10352,10150,SAINTE-MAURE
41262,41250,TOUR-EN-SOLOGNE
21154,21400,CHATILLON-SUR-SEINE
58004,58110,ALLUY
62101,62130,BEAUVOIS
62602,62180,NEMPONT-SAINT-FIRMIN
19251,19800,SARRAN
09250,09300,ROQUEFORT-LES-CASCADES
11283,11420,PEYREFITTE-SUR-L'HERS
85179,85440,POIROUX
79214,79500,POUFFONDS
14003,14400,AGY
76273,76160,FONTAINE-SOUS-PREAUX
62247,62310,COUPELLE-VIEILLE
62452,62575,HEURINGHEM
14135,14740,CARCAGNY
83085,83920,LA MOTTE
08248,08430,LAUNOIS-SUR-VENCE
39389,39300,NEY
71071,71110,CERON
51262,51300,FRIGNICOURT
72384,72500,VOUVRAY-SUR-LOIR
35154,35450,LIVRE-SUR-CHANGEON
68328,68470,STORCKENSOHN
38456,38710,SAINT-SEBASTIEN
40133,40530,LABENNE
34088,34660,COURNONTERRAL
77380,77139,PUISIEUX
28415,28210,VILLEMEUX-SUR-EURE
49136,49500,LA FERRIERE-DE-FLEE
69227,69850,SAINT-MARTIN-EN-HAUT
43206,43100,SAINT-JUST-PRES-BRIOUDE
34272,34400,SAINT-JUST
38511,38660,LE TOUVET
62392,62128,GUEMAPPE
50239,50180,HEBECREVON
05168,05130,SIGOYER
62609,62580,NEUVILLE-SAINT-VAAST
54303,54950,LARONXE
80788,80270,VERGIES
59085,59268,BLECOURT
60235,60590,FLAVACOURT
61243,61600,MAGNY-LE-DESERT
65384,65170,SAILHAN
89253,89660,MERRY-SUR-YONNE
62329,62250,FERQUES
60118,60400,CAISNES
38133,38500,COUBLEVIE
28122,28360,DAMMARIE
59226,59740,FELLERIES
24175,24290,LES FARGES
81073,81350,CRESPINET
55060,55160,BONZEE
43044,43380,CERZAT
79349,79110,VILLEMAIN
86062,86360,CHASSENEUIL-DU-POITOU
76002,76640,ALVIMARE
89438,89290,VENOY
87019,87220,BOISSEUIL
12256,12260,SALVAGNAC-CAJARC
27594,27450,SAINT-PIERRE-DES-IFS
32274,32240,MONLEZUN-D'ARMAGNAC
48131,48150,LE ROZIER
60585,60420,SAINT-MARTIN-AUX-BOIS
38268,38580,LE MOUTARET
41265,41800,TROO
55310,55700,LUZY-SAINT-MARTIN
55211,55400,GINCREY
74312,74130,VOUGY
54414,54200,PAGNEY-DERRIERE-BARINE
12249,12370,SAINT-SEVER-DU-MOUSTIER
65398,65370,SALECHAN
52245,52700,HUMBERVILLE
29159,29710,PEUMERIT
15244,15300,USSEL
34085,34290,COULOBRES
40233,40350,POUILLON
84059,84190,LAFARE
59019,59269,ARTRES
80372,80490,FRUCOURT
27320,27370,LA HAYE-DU-THEIL
23041,23350,LA CELLETTE
11185,11220,LAGRASSE
56190,56500,REGUINY
03266,03150,SANSSAT
57718,57530,VILLERS-STONCOURT
28064,28410,BU
74085,74170,LES CONTAMINES-MONTJOIE
77183,77260,LA FERTE-SOUS-JOUARRE
02756,02690,URVILLERS
08254,08290,LIART
01174,01130,GIRON
44138,44390,PUCEUL
36073,36160,FEUSINES
67455,67250,SCHOENENBOURG
76622,76330,SAINT-MAURICE-D'ETELAN
33330,33370,POMPIGNAC
89002,89800,AIGREMONT
38095,38160,CHATTE
52194,52410,EURVILLE-BIENVILLE
79153,79110,LOUBIGNE
95456,95270,NOISY-SUR-OISE
52385,52240,PERRUSSE
36164,36160,POULIGNY-SAINT-MARTIN
81112,81150,LABASTIDE-DE-LEVIS
17391,17220,SAINT-ROGATIEN
09279,09800,SALSEIN
12082,12230,LA COUVERTOIRADE
41270,41240,VERDES
17012,17380,ANNEZAY
33033,33880,BAURECH
88412,88700,SAINT-BENOIT-LA-CHIPOTTE
21506,21700,PREMEAUX-PRISSEY
80746,80260,TALMAS
03318,03360,VITRAY
24122,24170,CLADECH
60504,60430,PONCHON
39168,39570,COURBETTE
74258,74340,SAMOENS
26360,26230,VALAURIE
60440,60190,MOYENNEVILLE
26111,26460,CRUPIES
12072,12100,COMPREGNAC
88046,88600,BEAUMENIL
77165,77820,LES ECRENNES
72048,72110,BRIOSNE-LES-SABLES
78236,78910,FLEXANVILLE
60518,60480,PUITS-LA-VALLEE
66175,66740,SAINT-GENIS-DES-FONTAINES
